nom_produit;prix;specificites
Micha Yarns - 10 bollen haakkatoen pakket - 100% katoen haakgaren - 10 x 50gram - Cotton Candy - Rainbow Bright (001);25,95;Haken Naalddikte: 2-2.5 (2) Bollen Bundels van Micha Yarns! Haak-/breinaald 2. 0-2. 5 100% katoen 50 gram / 170 meter 10 bollen... in prijs verlaagd Meestal 28,95 28.95 Je bespaart 10% 6 dagen Verkoop doorMicha YarnsWat je kan verwachten Gesponsord Micha Yarns
Micha Yarns - 15 bollen haakkatoen pakket - 100% katoen haakgaren - 15 x 50gram - Cotton Candy - Technicolor (001);34,95;Haken Naalddikte: 2-2.5 (2) Bollen Bundels van Micha Yarns! Haak-/breinaald 2. 0-2. 5 100% katoen 50 gram / 170 meter 15 bollen... in prijs verlaagd Meestal 39,95 39.95 Je bespaart 13% 6 dagen Verkoop doorMicha YarnsWat je kan verwachten Micha Yarns
Kerst Special 3 (Crème, Rood, Groen)16,95Autumn (Geel - Perzik - Oranje - Rood - Koraal)16,95Love (Creme - Roze - Baby Roze - Lila - Paars)16,95Rainbow Pastel (Roze - Blauw - Lila - Geel - Groen)16,95Kerst Special 1 (Wit, Rood, Groen)16,95Dark Palette (Zwart - Donker Rood - Denim Blauw - Bos Groen - Grijs)16,95;15,99;Meestal 17,95 17.95 Je bespaart 6% 6 dagen Verkoop doorMicha YarnsWat je kan verwachten Creativ company CC Mini Hobbyset Macramé Sleutelhangers Kristallen Macramé Met deze set knoop je leuke sleutelhangertjes met echte kristallen. Elk kristal staat symbool voor unieke... 6 dagen Verkoop doorSanniesHomeWat je kan verwachten Merkloos / Sans marque
ijzergaren - zwart - 20 meter - polyester garen;4,50;Naaien, Weven, Sieraden maken, Borduren Naalddikte: 8-12 (3) sterk zwart ijzergaren Of bespaar 32% als je er 2 koopt Uiterlijk 24 december in huis Verkoop doorMulder NaaimachinesWat je kan verwachten hemline
Borduur Wikkelkaartjes - Karton - 50 stuks;5,75;Uiterlijk 24 december in huis Verkoop doorHandwerkhuis De RozetWat je kan verwachten
setje 4x sterretje ijzergaren - zwart wit bruin antraciet / donkergrijs - ijzersterk garen set - 4x 20m;8,95;(1) set 4x ijzergaren: zwart wit dokergrijs bruin Uiterlijk 22 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Merkloos / Sans marque
Draaddoorhalers Voor Garen - 10 Stuks;4,95;Borduren, Naaien Naalddikte: 0.5 (1) Verkoop door NaaimachineWinkel. nl10 stuks draaddoorhalers voor het gemakkelijk in de naald krijgen van... Uiterlijk 22 december in huis Verkoop doorNaaimachinewinkelWat je kan verwachten STG
set 4x ijzergaren sterretje - wit zwart beige bruin - 4x 20 m - ijzersterk garen - 100& polyester;8,95;Naaien Naalddikte: 12-15 IJzergaren heeft z'n naam te danken aan het feit dat deze garen ijzersterk zijn. Geen grap! Heb je er... Uiterlijk 22 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Merkloos / Sans marque
metallic 30 borduurgaren zilver - klosje 100 m - embroidery thread col 1890 - garen modinetje - ook geschikt als naaigaren;5,50;Naaien, Borduren Naalddikte: 5-7 embroidery thread for sewing. Brilliant sparkling metallic thread to create fascinating accents and... Uiterlijk 22 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Merkloos / Sans marque
ijzergaren - beige zandtint - 20 meter - polyester - 20/3 garen - lichtbruin;5,50;Naaien Naalddikte: 8-12 (1) sterk ijzergaren zandkleur beige Meestal 5,95 5.95 Je bespaart 8% Uiterlijk 22 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Prym
Prym H811836 - 2 x dradenfee - draaddoorhaler - draden fee om draden weg te werken;7,25;Naaien, Haken, Breien, Borduren, Vilten Naalddikte: 0.6 2 x draden feewerk met deze tool handig storende draden weg Uiterlijk 22 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Merkloos / Sans marque
metallic 30 borduurgaren goud - klosje 100 m - embroidery thread col 1893 - gouden garen modinetje - ook geschikt als naaigaren;21,71;Naaien, Borduren Naalddikte: 5-7 embroidery thread for sewing. Brilliant sparkling metallic thread to create fascinating accents and... Uiterlijk 22 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Gesponsord Serafil Bordo rood Polyester naaigaren voor Bootkap, Tent en Zonwering Naaien Naalddikte: 8-12 (12) 100% polyester naaigaren UV bestendig met een dikte 30. Dit garen gebruikt u met naalddikte 100 tot 120... Huidige voorraad bijna op bij deze verkoperSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorSaliseal NLWat je kan verwachten Gesponsord Serafil Grijs Polyester naaigaren voor Bootkap, Tent en Zonwering Naaien Naalddikte: 8-12 (12) 100% polyester naaigaren UV bestendig met een dikte 30. Dit garen gebruikt u met naalddikte 100 tot 120... Huidige voorraad bijna op bij deze verkoperSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorSaliseal NLWat je kan verwachten Creativ company CC Stramien 50x100 cm Off-white Weven Naalddikte: 7 Stramien van 100% katoen gewoven met 13 draden per 10 cm (1. 3/cm). Wordt gebruikt voor muurdecoraties,... Of bespaar 10% als je er 2 koopt Op voorraad Voor 23:59 uur besteld, vrijdag in huis Verkoop dooriHobbyWat je kan verwachten Meer verkopers vanaf 21,50 per stuk Corna
Corna elastisch garen 0,8 mm - wit - 1 klosje 20 m - voor sieraden, smocken, rimpelelastiek;7,25;Naaien, Borduren Naalddikte: 8-12 (1) Sterke kwaliteit elastisch garen. geschikt voor sieraden maken. Geschikt voor smocken/rimpelen, met de... In verschillende varianten verkrijgbaar: zwart5,50 Uiterlijk 22 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Merkloos / Sans marque
ijzergaren - wit - 20 meter - polyester - ijzersterk garen;13,99;Naaien, Borduren, Sieraden maken, Vilten Naalddikte: 8-12 ijzergaren wit Uiterlijk 22 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Creativ company CC Aida Telstof 43/10 Fijn 50x50 cm Wit Borduren Naalddikte: 1.5 (14) Creativ Company Aida-stof 50×50 cm – 43 vierkantjes per 10 cm (wit)Deze Creativ Company Aida-stof is... In verschillende varianten verkrijgbaar: divers14,95divers14,95 3 + 1 gratis Huidige voorraad bijna op bij deze verkoperSelect Voor 23:59 uur besteld, morgen in huis Verkoop door bol Merkloos / Sans marque Set van ELASTISCH NAAIGAREN van Hoge Kwaliteit, 4x30 Meter, 2 WIT + 2 ZWART Naaien Deze set van elastisch naaigaren is een onmisbare aanvulling voor elke naai- en handwerkenthousiast.... Of bespaar 20% als je er 3 koopt Uiterlijk 24 december in huis Verkoop doorSRL Leduc BVWat je kan verwachten Salesboer
Gewaxte Draad - Wax Koord - Naaigaren - 1 mm dik en 50 m lang - Bruin;12,99;Naaien, Sieraden maken Naalddikte: 2.5 (6) Dit platte gewaxte draad of garen is 1 millimeter breed, 50 meter lang en ideaal voor het naaien met... Meestal 14,95 14.95 Je bespaart 13% Op voorraad Uiterlijk 19 december in huis Verkoop doorBamboe ShopWat je kan verwachten None
Wolwinder | Garen Yarn Winder - wool winder - met tafelklem - wolopwinder - thread winder - wolmolen - garenwinder - roze - woloproller;28,50;Breien Naalddikte: 8 (1) Eenvoudig alle bollen, restjes garen en skeins opwinden tot een bal (cake) die fijn is in gebruik. Zodra... In verschillende varianten verkrijgbaar: Wit & Rood28,50 Meestal 32,50 32.50 Je bespaart 12% 6 dagen Verkoop doorWaut weavingWat je kan verwachten hemline
Borduur Wikkelkaartjes- Plastic - 30 stuks;5,75;Uiterlijk 24 december in huis Verkoop doorHandwerkhuis De RozetWat je kan verwachten Micha Yarns
5 bollen - 70% bamboe 30% katoen haakgaren - 5 x 50gram - 185meter - Zwart (000) - Micha Yarns;14,99;Haken Naalddikte: 2-3 Baby Bamboo garen van Micha Yarns! Dit heerlijke zachte bamboe katoen garen is gemaakt van 100% natuurlijke... In verschillende varianten verkrijgbaar: Wit19,95Geel19,95Rood19,95Baby Blauw19,95Paars19,95Baby Roze19,95 6 dagen Verkoop doorMicha YarnsWat je kan verwachten ACCESSOIRES LEDUC POLYESTER OVERLOCK Garen 2700 Meter per BOBIJN, 4 Bobijnen (4*2700 Meter) TOTAAL 18000 Meter, Kleur CREME 253 Naaien, Borduren, Breien, Weven Naalddikte: 1.5 (6) Een overlocker is een type naaimachine die meerdere draden gebruikt en deze meteen afwerkt en bijsnijdt.... In verschillende varianten verkrijgbaar: ECRU15,90TAUPE15,90ZWART15,90FUSCHIA17,59NAVY14,90donkergroen14,90 Of bespaar 21% als je er 3 koopt Uiterlijk 24 december in huis Verkoop doorSRL Leduc BVWat je kan verwachten Stoffenboetiek
Micha Yarns - 10 bollen haakkatoen pakket - 100% katoen haakgaren - 10 x 50gram - Cotton Candy - Rainbow Pastel (002);20,99;Haken Naalddikte: 2-2.5 (2) Bollen Bundels van Micha Yarns! Haak-/breinaald 2. 0-2. 5 100% katoen 50 gram / 170 meter 10 bollen... in prijs verlaagd Meestal 28,95 28.95 Je bespaart 10% 6 dagen Verkoop doorMicha YarnsWat je kan verwachten Gesponsord Coats Zand/Beige Polyester naaigaren voor Bootkap, Tent en Zonwering Naaien Naalddikte: 8-12 (1) 100% polyester naaigaren UV bestendig met een dikte 30. Dit garen gebruikt u met naalddikte 100 tot 120... Op voorraadSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorSaliseal NLWat je kan verwachten 1.323 resultaten Sortering
Micha Yarns - 10 bollen haakkatoen pakket - 100% katoen haakgaren - 10 x 50gram - Cotton Candy - Rainbow Bright (001);25,95;Haken Naalddikte: 2-2.5 (2) Bollen Bundels van Micha Yarns! Haak-/breinaald 2. 0-2. 5 100% katoen 50 gram / 170 meter 10 bollen... 6 dagen Verkoop doorMicha YarnsWat je kan verwachten Gesponsord Micha Yarns
Micha Yarns - 15 bollen haakkatoen pakket - 100% katoen haakgaren - 15 x 50gram - Cotton Candy - Technicolor (001);34,95;Haken Naalddikte: 2-2.5 (2) Bollen Bundels van Micha Yarns! Haak-/breinaald 2. 0-2. 5 100% katoen 50 gram / 170 meter 15 bollen... 6 dagen Verkoop doorMicha YarnsWat je kan verwachten Merkloos / Sans marque
ijzergaren - donkergrijs grijs antraciet - 20 meter - polyester - 20/3 garen;21,99;Naaien, Borduren Naalddikte: 8-12 (1) ijzergaren grijs Uiterlijk 23 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Chunky Yarn Core Blanket Line – Blanket Chunky Yarn – Breigaren – 3 cm Dikte – Machine Wasbaar – Voor Handbreien & Arm-knitting – 25 m – Grijs Chunky Yarn Core Blanket Line – Blanket Chunky Yarn – Breigaren – 3 cm Dikte – Machine Wasbaar – Voor...
Somstyle Luxe 100-in-1 Borduurgaren Set - 8 Meter per Spoel - Naaigaren - Borduurwerken - Multicolor;17,95;Borduren Maak elk borduurproject onvergetelijk met de Somstyle 100-in-1 borduurgaren set. Of je nu een beginner... Voor 23:59 uur besteld, dinsdag in huis Verkoop doorEasycheckWat je kan verwachten elga
Ijzergaren - grijs - 20 m - ijzersterk - 100% polyester 20/3 - sterk garen voor tassen, tentdoek, etc.;6,25;Naaien Naalddikte: 12-15 ijzergaren grijs20 m Uiterlijk 23 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Merkloos / Sans marque
metallic 30 borduurgaren goud - klosje 100 m - embroidery thread col 1894 - garen modinetje - ook geschikt als naaigaren;5,50;Naaien, Borduren Naalddikte: 5-7 embroidery thread for sewing. Brilliant sparkling metallic thread to create fascinating accents and... Uiterlijk 23 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten
Stopwol modinetje - donkerrood rood - stopgaren art 1001 15m. - 55% wol 45% Polyamid;5,50;Naaien Stopwol van Modinetje (of stopgaren) is bedoeld voor het repareren van gaten of versleten stukken weefsel.... Uiterlijk 23 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten
set 2x Goldmann extra sterk garen - 1 klosje wit 1 klosje zwart - supersterk garen;17,25;(1) Een garen dat bekend staat om zijn uitstekende kwaliteit. 100 meter per rol. Voor 23:59 uur besteld, dinsdag in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Creativ company CC Katoenkoord 1 mm 700 m Licht Naturel Extra Dunne Kwaliteit Macramé, Home deco (4) Goede kwaliteit zacht 85% katoen getwijnd koord met 15% polyeste, extra dunne kwaliteit 12/6, rol 700... Huidige voorraad bijna op bij deze verkoperSelect Voor 23:59 uur besteld, morgen in huis Verkoop door bol Lammy Yarns Vijf bollen gemeleerd garen (5 x 50 gram 100% katoen) Breien, Haken, Weven Naalddikte: 3.5 (4) Vijf bollen gemêleerd garen:Details per bol:Kleur: zwart, wit en grijsMateriaal: 100% KatoenGewicht:... In verschillende varianten verkrijgbaar: bruin17,25bruin17,25rood17,25grijs17,25groen17,25blauw17,25 Uiterlijk 23 december in huis Verkoop doorDe hobbyvlinderWat je kan verwachten Luca-S
Metallic PURE GOLD - borduurgaren Luca-s - streng van 8 meter;7,95;Borduren Naalddikte: 0.5 Luca-s metallic borduurgaren heeft een samenstelling van 60% Metallized, 40% Polyamide, ( Polyester ).... Voor 23:59 uur besteld, dinsdag in huis Verkoop doorHobbydoityourself.nlWat je kan verwachten Gesponsord Micha Yarns
Micha Yarns - 10 bollen haakkatoen pakket - 100% katoen haakgaren - 10 x 50gram - Cotton Candy - Rainbow Pastel (002);20,99;Haken Naalddikte: 2-2.5 (2) Bollen Bundels van Micha Yarns! Haak-/breinaald 2. 0-2. 5 100% katoen 50 gram / 170 meter 10 bollen... 6 dagen Verkoop doorMicha YarnsWat je kan verwachten Gesponsord Coats Zand/Beige Polyester naaigaren voor Bootkap, Tent en Zonwering Naaien Naalddikte: 8-12 (1) 100% polyester naaigaren UV bestendig met een dikte 30. Dit garen gebruikt u met naalddikte 100 tot 120... Op voorraadSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorSaliseal NLWat je kan verwachten DMC DMC Brio 405 Breien Naalddikte: 4
DMC Brio - Het kleurrijke garen DMC Brio is een garen dat over veel verschillende kleuren beschikt. Zacht...;17,99;Uiterlijk 23 december in huis Verkoop doorPakhuis.euWat je kan verwachten WolletjeBol
WolletjeBol Midi Cotton Saliegroen - Chunky katoen garen van 18 mm dik;39,95;Breien Naalddikte: 20 Grof, chunky garen van 100% biologisch katoen in de kleur Saliegroen. Hoeveel heb ik nodig?• 1 bol =... In verschillende varianten verkrijgbaar: Okergeel39,99Taupe39,95Oudroze39,95Donkerdenim39,95Zand39,95Mauve39,95 Voor 23:59 uur besteld, dinsdag in huis Verkoop doorThe Yarn WagonWat je kan verwachten
Corna rijggaren ecru - klosje garen 300 m - 100% katoen off white - naturel ongebleekt;5,50;Naaien Naalddikte: 7-8 (2) katoenen rijggaren ongebleekte katoen, voor het rijgen van stoffen300 m Uiterlijk 23 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten artifil
4 klosjes artifil garen naaigaren - 4x 200 meter garen - set 2 klosje wit (1001) en 2 klosjes zwart (1008);18,94;Naaien 2 klosjes wit en 2 klosjes zwartnaaigaren 200 meter x 4 Voor 23:59 uur besteld, dinsdag in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Goede Keuze Bobbiny Bobbiny Premium Charcoal Grijs 5mm Breien, Haken, Sieraden maken, Weven Naalddikte: 8-9 (1) Bobbiny Premium Heb je die leuke plantenmandjes gezien? Stoere woonkussens? Gehaakte tassen? Dat kun... In verschillende varianten verkrijgbaar: Light Grey18,94Blauw18,94 Of bespaar 10% als je er 2 koopt 6 dagen Verkoop doorTrendyTextiles.nlWat je kan verwachten
Goldmann extra sterk garen 100m - wit naaigaren - extra stark yarn - klosje supersterk garen - no. 719;4,95;Een garen dat bekend staat om zijn uitstekende kwaliteit. 100 meter per rol. Uiterlijk 23 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Micha Yarns
Micha Yarns - 100% katoen haakgaren - 5 bollen haakkatoen - 5 x 50gram - 170meter per bol - Licht Grijs (019);39,95;Haken Naalddikte: 2-2.5 (2) Cotton Candy garen van Micha Yarns! Haak-/breinaald 2. 0-2. 5 100% katoen 50 gram / 170 meter 5 stuks... In verschillende varianten verkrijgbaar: Paars16,95Zwart16,95Denim Blauw16,95Wit16,95Baby Roze16,95Orange16,95 6 dagen Verkoop doorMicha YarnsWat je kan verwachten 3 maal ijzergaren rood beige en donkerblauw Borduren, Breien, Haken, Naaien, Leerbewerking Naalddikte: 10 (1) 3 maal ijzergaren rood beige en donkerblauwplus minus 15 meter per stuk Uiterlijk 23 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Babysnap Houten Garenrek voor 120 klossen garen van 50 tot 1000meter Borduren, Naaien, Breien Naalddikte: 6 (13) Degelijk beukenhouten garenrek met 120 pennen van 35mm hoog en 36cm breed voor uw borduur, naai en kleine... Meestal 45,00 45.00 Je bespaart 11% 6 dagen Verkoop doorNiessen Naaimachines OnlineWat je kan verwachten Prym
Elastisch naaigaren 0,5 mm marine 20 m - prym;20,99;Naaien, Borduren Naalddikte: 0.5 Bestel nu 'Elastisch naaigaren 0,5 mm marine 20 m' met 15% korting. Textielstad heeft het complete assortimet... Uiterlijk 23 december in huis Verkoop doorHOBBY HOLLANDWat je kan verwachten Gesponsord Serafil Saliseal |Donkerblauw Polyester naaigaren voor Bootkap, Tent en Zonwering Naaien Naalddikte: 8-12 (12) 100% polyester naaigaren UV bestendig met een dikte 30. Dit garen gebruikt u met naalddikte 100 tot 120... Op voorraadSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorSaliseal NLWat je kan verwachten Gesponsord Serafil Bordo rood Polyester naaigaren voor Bootkap, Tent en Zonwering Naaien Naalddikte: 8-12 (12) 100% polyester naaigaren UV bestendig met een dikte 30. Dit garen gebruikt u met naalddikte 100 tot 120... Huidige voorraad bijna op bij deze verkoperSelect Voor 23:59 uur besteld, morgen in huis Verkoop doorSaliseal NLWat je kan verwachten DMC Dmc Borduurwol Borduren Dmc Borduurwol is een 100% wol garen om mee te borduren. De looplengte is 8 meter op een strengetje.... Uiterlijk 23 december in huis Verkoop doort trendjeWat je kan verwachten Folia
Folia borduurkarton set - creatieve borduurkit 25-delig multicolorMet deze borduurkarton set van Folia...;16,50;Of bespaar 10% als je er 2 koopt Voor 23:59 uur besteld, maandag in huis Verkoop dooriHobbyWat je kan verwachten Meer verkopers vanaf 16,40 per stuk 1.323 resultaten Sortering
